grid_id,viirs_2014,viirs_2015,viirs_2016,viirs_2017,viirs_2018,viirs_2019,viirs_2020,viirs_2021,viirs_2022,viirs_2023,viirs_2024,viirs_2025
G000001,0.21244186319510736,0.16288660079707154,0.16041175482569792,0.33699449397146086,0.30571721829529497,0.3285407376671335,0.36938400650966013,0.4343293586804152,0.42949702283131563,0.4547816425028927,0.458681575676368,0.411174864753881
G000002,0.1894714467005054,0.15093857311824363,0.14829303626137882,0.32471845612597117,0.28921393654239713,0.30208706586663403,0.3483924133786515,0.394767410074597,0.40374377772434433,0.43679658236788277,0.43852136693338845,0.39506738555075516
G000003,0.25522256340108707,0.19475643181089147,0.20472980209473357,0.3719084254174091,0.3535665366854241,0.3639589561455286,0.42622760879014865,0.5126194054288651,0.47349066598646683,0.5410005606822114,0.5151442701469607,0.4839129276684861
G000004,0.28394342070183287,0.21732919154465422,0.21551487282506582,0.39487828927881574,0.3735796710003337,0.3688173229048169,0.4238104931649572,0.5047505577597615,0.46768490436444604,0.5403390121788386,0.5162199080567349,0.48597480435470813
G000005,0.25318061242826645,0.20244097376544853,0.19550587938634897,0.3741477220451067,0.34923932631395965,0.34498820015286186,0.3958053817825416,0.46953365337742065,0.45336562355122506,0.5087019008780022,0.4746739898992898,0.4516498982551023
G000006,0.3675317817993129,0.30928021897353347,0.2528022557052214,0.472610349597326,0.4452574609820524,0.5876921624612453,0.5627916684791223,0.5571337066479584,0.5392244989969838,0.5884953029342553,0.5870771163879936,0.5109377508732811
G000007,3.6937096334054886,4.027451882559716,3.718225253463948,4.314809944183414,4.1337459727866195,5.958518541721514,5.507498665766252,5.051889752559393,4.651064556005907,4.987180118770586,5.611142855407053,5.334695443522122
G000008,9.526431513188491,9.949683610361015,9.392291795317806,10.305915231135355,10.428978751310662,14.42050796337982,13.572151082309329,13.911104039291837,13.412195243408432,12.70801129269956,14.587419349755818,14.833695805962405
G000009,4.737264227991579,4.6982988964524575,4.73260794621097,5.271754450623797,5.179965177994002,7.252237809584445,6.98520761528271,7.31184196614401,7.450874849542763,6.673340647012596,6.688056950423363,7.5365479940091555
G000010,1.634362273662172,1.711519238690328,1.6843577882083445,2.1085994990678545,1.8430750420214341,2.8941815941415494,3.300111172984503,3.48412824920677,3.8739369475184176,3.5105961034443616,3.451436928150018,3.9992337246410172
G000011,2.118821831955817,2.3999157611241815,2.0239404948697532,2.866321396499028,2.79942875292191,5.711598341271348,7.645080848795466,7.883136060216565,7.8625950602767345,6.425656918619499,6.858663003863947,7.662577651119089
G000012,2.1389612398602726,2.3688900008475398,1.9774322804899729,2.6750206891322295,3.4329605409229624,5.794189782395103,8.63078300958245,10.557297395468646,9.899022500609213,9.04923055138186,10.37476307167036,10.38035547475509
G000013,0.7399783590704491,0.7551773774561735,0.7267026290774611,0.9905831621195609,1.2840053219894643,1.4913787456563576,1.9560808931724931,2.5898950979590674,2.41850090066799,2.7157386011892695,3.1166905918320165,3.083862002137341
G000014,0.4425236840643697,0.34820500688095174,0.3313945378842098,0.562003795301453,0.5569134390735555,0.5317776508718018,0.580360242609112,0.6637965108134917,0.630554309646998,0.6909859208833602,0.6577467706852724,0.6653267606383276
G000015,1.1853041844408272,1.1218488996603488,1.0883003847836397,1.4043233229735597,1.3174253129109488,1.2415607167814342,1.0383400441442319,0.9085837569331352,0.9951812306543556,0.9928967685142394,1.0123101763651705,0.8856955641862839
G000016,0.42638865623092503,0.3690496676009307,0.3440393736249549,0.5494200056213638,0.5127355623306508,0.4972889130161021,0.526393787035508,0.5790283803591468,0.5683755451230749,0.6426114524863714,0.5729111651842115,0.5483975837146658
G000017,0.17218145829305723,0.14448693608726143,0.10817545963757079,0.3128085052344337,0.3184558471414582,0.3461175405712271,0.375489428350285,0.4211231347785069,0.3940845803315961,0.44284520805326877,0.4320176923230514,0.45730316385404407
G000018,0.19287127136204826,0.1638891173553075,0.11275079443527745,0.34299083075209996,0.3503889637130513,0.37787963818310805,0.40968197679857954,0.447129700235505,0.4167469470825011,0.4659123758578852,0.45442533702259197,0.4525036964735226
G000019,0.25100037909265777,0.18764406975303125,0.16224217048999087,0.393376261040346,0.3450995079172191,0.41372761668553987,0.4453358212958521,0.5085920324298874,0.4748047236631166,0.520482359915527,0.5406725445122862,0.5249793599790602
G000020,0.6475853425798132,0.6514816518372565,0.576579229233425,0.929860223362695,0.9097929263737665,1.2479297182008402,1.3538594366899177,1.4901554744190244,1.354546631005273,1.4874652860769588,1.6606771924602453,1.6813172278564366
G000021,1.3927843561138655,1.2076655680159296,1.164156548695568,1.4909873644837341,1.464231394359298,2.212699796790236,2.4046844848507454,2.540243360068568,2.490436896893228,2.5239991568379474,2.9818009835201202,2.823468272680663
G000022,0.6326868462028788,0.5535609842236362,0.5647389139479666,0.8192841234491831,0.7872935230162605,1.040048502407857,1.2311473890471816,1.3452388248781657,1.37124811784545,1.383198791831287,1.3930178217923461,1.546486612309271
G000023,0.3407860938515236,0.305407827180713,0.3045463773852854,0.5435639345156613,0.5180945203597866,0.656552226151993,0.8096610631070921,0.8857294882411386,0.9121337068614676,0.9117817160353732,0.937866914049903,1.047511705489301
G000024,0.3890967557915156,0.3806331692244338,0.35105613928709434,0.633984905726409,0.6532311584368325,0.9079062731255517,1.2585071023777892,1.483608074781653,1.479704487428791,1.462811414540777,1.5479723455797383,1.6819175281801235
G000025,0.5054110031484771,0.5104120821526009,0.4746272834625999,0.7491178055589721,0.8698826098127215,1.1167993557339453,2.006792626307453,3.064391081768716,2.9062276593220204,2.8482324361626223,3.1649705534548067,3.537843550554725
G000026,0.5921991269303556,0.615491657225617,0.5498076789845818,0.8432878351106671,0.8182502444232662,0.9166446684742252,1.2398875728905026,1.8709647181359206,1.8278164766138947,1.7577688264881757,1.9319399322145494,2.081003463600388
G000027,2.1179379731482397,1.9722755557907405,2.0141845656439807,2.4242266314507934,2.47128953931964,2.626824640115336,2.294802248346552,2.0552026561566086,2.3804818658071967,2.505307402179839,2.1881833324355298,2.447509764048389
G000028,11.076388076391249,11.72484873727496,10.152449813272273,12.202681353404408,10.820468575383225,11.856466244994882,9.749115807314714,9.099941284262707,10.039364617672705,10.090211414244203,10.427963871464488,12.026537833380555
G000029,1.6552175328923269,1.484292385965164,1.3774678831946379,1.743353716979165,1.6816716049690348,1.5282352686993508,1.4922499274772578,1.5781974744548215,1.7150750625337667,1.8533197265903358,1.7325862479227658,1.8558792404869289
G000030,0.1633931712217523,0.12805741580232388,0.10790877839337543,0.2873905728653885,0.2650609932967849,0.2922056249222531,0.34846403171003,0.3953410480964353,0.3776232203367132,0.4197709085204158,0.46089227908222064,0.4166356204515789
G000031,0.24076801450551671,0.19313797376955333,0.16879021068666303,0.4424180353284328,0.5438666960657134,0.5971184897502917,0.6337795615463315,0.6765110740428366,0.5853472828776023,0.618994167863299,0.6702661973669781,0.6279506014967429
G000032,0.2733377980665096,0.20304924994150686,0.18842902716146295,0.46451355575892,0.5618844870936969,0.5861644301955785,0.666399042516435,0.7004810846546322,0.590562613354057,0.6528953704885623,0.676820545453826,0.6874718540101197
G000033,0.2112846863309899,0.1862987289246957,0.16082854427519758,0.3899392172226458,0.35846350107046887,0.39343548155151686,0.4737549765851289,0.5238141403693611,0.499766439578102,0.5316938921385995,0.5436960395720687,0.5308186051913264
G000034,0.29594563135524493,0.2859435066987068,0.267690423313273,0.5194661832286227,0.5229145131439695,0.6158849201443096,0.6748255977932813,0.7812484640713203,0.7309573839144752,0.7998550801744511,0.847379700524366,0.8466970933739897
G000035,0.343186906284037,0.31704769654695547,0.30083558855473075,0.5812628989436568,0.5788945863549532,0.674507224026272,0.7690125964882613,0.8761891758538132,0.8563811397692426,0.9353747959969592,0.9699945501431066,0.9874433542732273
G000036,0.2744300228562698,0.23673359894595183,0.22356773114318026,0.4588744051077149,0.45107343690224055,0.5213880741045622,0.6200733212344458,0.6795466742819706,0.6828250203314417,0.7229166615568647,0.7182861081491119,0.7535560496391789
G000037,0.2534600112775801,0.21302553584972725,0.2051200571299824,0.4367521698651556,0.4150727571193908,0.5055582019570815,0.6230630969528933,0.6854726014028817,0.6649541522944052,0.7220182275824572,0.721700296494686,0.7376492869652813
G000038,0.2726103537972745,0.24385033294713976,0.23222140650280187,0.47484936610685907,0.47757326988100823,0.5859426300634037,0.7642014415715384,0.8774012769565496,0.8474323098421451,0.9213182915518431,0.9468970937895881,1.0050953110977008
G000039,0.2937264320969404,0.26869534232532927,0.23391314750279116,0.44952282860275533,0.4619976311211437,0.5401546093239692,0.7381197222565397,0.8405644593402277,0.8322019272340925,0.9263238869996078,0.9292289312212726,1.0541325104929473
G000040,0.3575654386187948,0.3341009982728533,0.2963620490128441,0.5320816402146149,0.4982688495933655,0.5473704037167841,0.6398629704046818,0.7191654271224426,0.7066164452671295,0.7794785353222065,0.7447323599120691,0.7683748667172733
G000041,1.7720277498483836,1.8439388409623085,1.7158354499050692,2.0779150261065893,2.0352754981235526,2.312571998150244,2.4420724791638992,2.119594171388062,2.552429931561448,2.6462980520343566,2.5435443016369663,2.507978365391116
