annual_day_2014,annual_day_2015,annual_day_2016,annual_day_2017,annual_day_2018,annual_day_2019,annual_day_2020,annual_day_2021,annual_day_2022,annual_day_2023,annual_day_2024,annual_day_2025,annual_night_2014,annual_night_2015,annual_night_2016,annual_night_2017,annual_night_2018,annual_night_2019,annual_night_2020,annual_night_2021,annual_night_2022,annual_night_2023,annual_night_2024,annual_night_2025,grid_id,summer_day_2014,summer_day_2015,summer_day_2016,summer_day_2017,summer_day_2018,summer_day_2019,summer_day_2020,summer_day_2021,summer_day_2022,summer_day_2023,summer_day_2024,summer_day_2025,summer_night_2014,summer_night_2015,summer_night_2016,summer_night_2017,summer_night_2018,summer_night_2019,summer_night_2020,summer_night_2021,summer_night_2022,summer_night_2023,summer_night_2024,summer_night_2025
18.636216506528726,17.756825130088796,18.011170615243373,18.412492052306042,17.846136382144234,18.925762442607926,18.60919326599329,18.832842017738386,18.44461557434816,18.57499207597039,18.03285188113017,17.484597823193205,11.310185798623326,10.700293868521538,10.598350711775193,9.597874936557728,11.484772977936645,11.332219271174981,10.581347633659377,9.743910997118553,10.984770023055608,10.871438176021543,11.183314219114251,11.060097651579623,G000001,26.9746083562902,26.697696969697,27.491030303030335,28.0202373737374,27.323745638200222,27.935449494949534,27.266676767676806,27.90456565656569,28.090257575757605,27.336813131313168,27.978757575757612,27.658444444444473,20.08961616161619,17.787713131313172,19.25129292929296,18.870145454545494,20.22839393939397,20.906236363636395,20.451727272727314,19.89920707070711,20.74789754689758,21.259161616161638,21.92948484848489,22.148952020202053
18.96376677240976,18.012411307100894,18.47870375395751,18.740557494416596,18.136891843811277,19.427104536605537,18.871198009950277,19.165953294503122,18.869953993247325,19.130746992311206,18.204731559593366,17.792120255362697,11.224383568050085,11.139134092227813,10.958455566638793,9.434409205205533,11.57749395179249,11.204305140961889,10.691898937261286,10.337409533612751,10.793506366019397,11.377279030670854,11.221161743888894,10.620152203132207,G000002,27.512615106286777,27.410885572139335,28.388079601990082,28.87105970149256,27.896539574853033,28.8026218905473,28.162353233830878,28.63724378109456,28.73220398009953,27.840771144278634,28.391273631840832,28.09146268656719,19.589671641791078,18.164193034825907,19.584316417910475,19.403653731343322,20.83109339019192,20.00233432835824,20.729420895522424,20.520613930348286,20.760408244491863,21.48972139303484,22.601761194029876,22.310286069651763
18.440723837787147,17.49053746770029,18.63844461250817,18.178422495940225,18.166539393647607,19.099496658363982,18.66417201919531,18.26953849709042,18.448749376922972,18.49356111502626,17.86017449520485,17.918033780802958,11.322397563676665,11.540992248062045,12.108570430896041,10.890658707457643,12.547667273961379,11.459181739879442,10.806634158539671,11.128425900592823,12.405909712722329,12.168745241866052,11.966690518783576,11.47268336314851,G000003,27.221072351421217,27.16010335917316,27.81625322997419,28.118229974160233,28.056666666666693,27.968914728682197,27.436111111111142,28.32317829457367,27.567015503876,27.39826873385016,27.722532299741626,27.29244186046515,22.085635658914754,21.173307493540076,20.3941343669251,20.11660465116282,22.482387596899255,22.69082170542637,21.81567441860468,21.532170542635686,22.07858914728685,21.762038759689943,23.10886304909565,22.94074935400519
18.697933103350913,17.85904659498211,18.290451787743713,18.34573411534705,17.979614718614748,19.009580382900637,18.60994674859194,18.504852835160037,18.250866103998312,18.378082111436985,17.974462691430467,17.429946370739053,12.028717940568917,11.103405249449041,11.396051612903255,10.100126050420196,11.729871661463784,10.658055555555585,10.970493358633805,10.042147153402798,10.540702393340304,10.359222939068129,11.423678837291776,11.059971078976673,G000004,27.17475268817207,27.13655913978498,27.563967741935514,28.191333333333368,27.592032258064542,28.011913978494658,27.454440860215083,28.252204301075295,28.01311827956992,27.285989247311853,27.927215053763472,27.46173118279573,21.761207373271926,20.017967741935514,20.103225806451647,20.316096774193575,20.78096774193552,22.408709677419385,21.343574193548417,20.399720430107557,21.23952688172046,20.87483870967744,22.66023655913982,22.282086021505407
19.038268897744604,18.084842315369283,18.652345974717264,18.91866400532271,18.34042100647193,19.541186756920972,19.063224218230236,19.34043829444826,18.92506260206862,18.934446561422646,18.32328314385724,18.102485694572827,10.73304469877981,11.233972387284703,10.755312802965525,8.448104979268308,10.963699046351772,10.339057453275295,10.5034144284651,9.544646264238619,10.094670491523189,10.31861622908033,11.170043801551254,9.925779795089655,G000005,27.657380239520986,27.59014471057887,28.24590818363276,29.084970059880263,28.23025449101799,28.86906187624753,28.123702594810407,28.939550898203624,29.25146207584833,28.050678642714594,28.781501996008014,28.57009980039923,19.835478186484206,17.591925149700625,19.234005988023984,18.799967065868294,19.333976047904223,21.264754491017996,20.58141317365273,19.64932135728546,20.38331337325352,20.322165668662688,22.43133732534932,21.712395209580865
19.76138494669437,19.74534873371398,20.09975330112724,20.1551946223271,19.63161688466266,20.59419410487996,20.710801872355773,19.741668495538487,20.0733174004964,20.81181589013543,20.136565849938584,19.110898214660814,10.410918136602719,8.867843088539793,9.906741397164955,9.40603454060449,10.767335737661153,11.091725856075112,10.061925806844505,9.748687514531532,9.442088248707842,10.58550099460077,10.569262224893727,9.605324433362794,G000006,29.144884057971048,30.022140096618383,30.977280193236744,31.24834782608698,30.683024154589393,30.890951690821286,31.25970048309181,30.728193236715004,30.950338164251235,30.80262318840583,31.7950241545894,30.982888888888912,18.067513043478282,19.501443478260903,20.27495072463771,19.677797101449308,20.60855169082129,20.349264182194645,19.26496811594206,19.67220289855075,21.0365739130435,20.2918683229814,20.80317874396138,23.587043478260906
20.012503413432274,19.74341564236748,20.19880499776888,20.316633767392833,19.75378965135909,20.436595657994314,20.59280949886505,19.66561380877046,20.043331889927604,20.496642442787053,19.91772183684235,18.92040859088531,10.887982689378235,8.769394677768915,10.221238894973865,8.854842909964312,10.986783693915472,10.286838502352351,9.937121055651206,9.97798552498768,9.085974275891475,10.224036538310132,11.115778826176902,10.252921106417212,G000007,29.264571619812614,30.02434404283804,31.041740294511417,31.06482597054889,31.2620682730924,30.561914323962544,30.770435073627862,30.472556894243674,30.747088353413673,30.698105756358796,31.309317269076338,30.658145917001374,18.667851405622525,19.70210843373497,20.15473092369481,19.723273092369524,20.869123828647957,19.703667527251902,19.658712182061613,20.49006693440431,20.867041499330686,20.776309236947828,21.85476572958503,23.3369745649264
19.30443667812441,19.786842931479324,20.277290043290066,20.052259871441724,19.99203463203466,20.24107095802751,20.640013175230592,19.598865800865823,20.036137347501015,20.18203270803274,19.612822510822536,18.64156220591006,10.621098310291888,8.840108881018002,9.907522281639958,8.359399736789799,10.528616766745827,10.724366237895676,9.646190912728756,9.474403546542613,8.399970335952771,10.182523940705789,10.892036876703576,9.868223504890205,G000008,28.85567821067823,29.791601731601755,30.976493506493533,30.796183261183288,30.917770562770592,30.34321067821071,30.789920634920662,30.408131313131346,30.422467532467568,30.555692640692662,31.211457431457465,30.252496392496422,18.58223665223668,19.185346320346337,19.7824588744589,19.982965367965406,20.197936507936532,20.11664687693262,19.24646176046178,20.016741702741736,20.51435786435789,19.931952380952417,21.765425685425715,23.31455988455991
18.961251177280328,19.254462443752193,19.759764939110763,19.738785207724597,19.64689963429503,19.87989976974133,20.22148403991154,19.208169608861226,19.78125888311503,19.910938733125686,19.356723433714123,18.489879452797,10.646180570509815,9.32307498662642,9.820857571207997,8.698133185944494,11.089166649917962,10.814883412232186,9.896744335419465,9.539243173905104,8.677533916189352,10.575934721042229,11.111993421624774,9.075348238930816,G000009,28.34609553478715,28.984942886812075,30.256936656282477,30.267949117341672,30.28735202492215,29.90290758047771,30.444833852544168,30.143883696780925,29.91860332294915,30.108509865005217,30.671786085150607,29.63566458982349,18.305804776739397,19.13133333333336,19.90850051921083,19.718878504672933,20.423543984572053,19.88535528853289,19.22969262720669,19.87492004153689,20.43007788161996,20.026710280373862,21.613925233644885,22.138660436137087
19.07378765577473,19.10936802625414,19.617095938285843,19.479516763157058,19.529119427627986,19.71001834525778,20.037144866385407,19.20563107871972,19.430750216322807,19.960983591186157,19.245656821378365,18.379457897633486,10.855193209117925,9.758307931637072,9.80779889949913,8.586860056258821,10.792230661040817,10.533047294159912,9.85970401458119,9.294013402829515,9.616448250186181,10.240390028614417,10.592766408236537,9.625508647470701,G000010,28.417074542897353,28.974240506329153,30.212911392405097,30.09413502109707,30.104437412095674,29.85426863572436,30.390267229254597,29.978473980309456,29.82334036568217,30.063790436005654,30.57958509142056,29.54258087201127,18.741279887482452,19.3423713080169,19.618652601969096,20.550021097046443,20.316005625879058,19.72931685754473,19.088014064697642,19.34365963431789,20.379367088607626,19.734725738396662,20.52817862165966,21.548523206751096
