year,ndvi_count,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,evi_count,evi_mean,evi_median,evi_min,evi_max
2014,19001,0.5426776377658602,0.5117558590365163,-0.08100260820953482,0.8091698016413368,19001,0.33714803228936985,0.325097817623014,-0.013122170860285796,0.5743764826248338
2015,19001,0.4974629645600118,0.45862972493243065,-0.09141024997259074,0.8050293843787028,19001,0.3057807872678641,0.2862308311374739,-0.02520622341300297,0.5512134176536114
2016,19001,0.5008112291288257,0.4589498440347634,-0.0761586937548891,0.799336051038062,19001,0.31228235776973945,0.2903639439442218,-0.020047358294181056,0.5937689782868277
2017,19001,0.5152619542740072,0.47647644716646237,-0.06008227207844601,0.8168106449915596,19001,0.3165295944457635,0.29414155016905436,-0.015373141340215507,0.6054797139085359
2018,19001,0.5248949395313154,0.49253579089206534,-0.09569250250463247,0.7839713431421252,19001,0.3185777284265692,0.3007465511264237,-0.025250743898006044,0.5902868150691903
2019,19001,0.5035092334833674,0.4687947016243236,-0.1160709826094009,0.790571799519599,19001,0.30900982331341,0.2895207306366917,-0.02490778005563485,0.5902479458743012
2020,19001,0.5125686230511202,0.48125950153908575,-0.10283623161422457,0.794962410121828,19001,0.3168599704827671,0.3017066254710488,-0.028511111440226153,0.5688095517303969
2021,19001,0.521671271170474,0.49493019356245643,-0.11146551751512569,0.794116230507827,19001,0.32217682912637113,0.30991001669834256,-0.02240438418812211,0.5792011075464836
2022,19001,0.49200386175251654,0.45336423359857764,-0.12317330571207602,0.7882112981623496,19001,0.3011708278475356,0.2792614094071435,-0.019329792722151993,0.559939750755667
2023,19001,0.4923161924581185,0.45631413880020155,-0.11359197767441863,0.7882841803405575,19001,0.2992395932235091,0.28500764123403877,-0.006105689302325584,0.5203824903510383
2024,19001,0.4885523879052923,0.4441212696762945,-0.09971732377739782,0.7781735720820806,19001,0.3039175628738814,0.284683790221288,-0.023653432115724717,0.5456157796912372
2025,19001,0.5044552614528038,0.47190098417655074,-0.11603861821693795,0.7792776489418914,19001,0.3068158420231839,0.2943949858299498,-0.01888301031846114,0.5344676140821886
