year,count,missing,mean,median,std,min,max
2014,19001,0,0.13550506345948327,0.1359211407179569,0.011401473947096029,0.008870493358633776,0.20982781677362497
2015,19001,0,0.12870254927083594,0.12843042072111316,0.009241062808909977,0.01530433414261307,0.29566890250370026
2016,19001,0,0.1220815338192363,0.12142527686713991,0.01059957720939507,0.00802643369175627,0.9159992044731923
2017,19001,0,0.12346813863361544,0.1231209949558006,0.00831605642324275,0.007799054154302672,0.1939405650186449
2018,19001,0,0.12199353015617082,0.12182968336789354,0.009501082479092229,0.04822092036930076,0.2079035750766088
2019,19001,0,0.1334640145807486,0.13386691580121665,0.010761239012187,0.05289719700992153,0.9337075666190374
2020,19001,0,0.1179521075692259,0.11808941396970835,0.009069859201826926,0.06157199427430022,0.2109277914370833
2021,19001,0,0.13240602859013864,0.13232752725733377,0.010035236177818242,0.06682966357387024,0.22191158163996766
2022,19001,0,0.11871949489961817,0.11912654889120632,0.009050141457782282,0.05741024010304814,0.18237002198638516
2023,19001,0,0.12619406321444682,0.12593150678642195,0.011481759630014252,0.062213399403793286,0.2759772768629897
2024,19001,0,0.12791765319874154,0.12863039320709385,0.010051529011172958,0.08089194484037292,0.1743793652886735
2025,19001,0,0.12347612286669499,0.12402644811293786,0.010460286043150744,0.02759507545165752,0.1630233013400085
