built_2015,built_2020,built_2025,grid_id,built_share_2015,built_pct_2015,built_share_2020,built_pct_2020,built_share_2025,built_pct_2025
0.0,0.0,0.0,G000001,0.0,0.0,0.0,0.0,0.0,0.0
323.5019607843137,331.98039215686276,331.98039215686276,G000002,0.0003235019607843137,0.03235019607843137,0.00033198039215686276,0.03319803921568627,0.00033198039215686276,0.03319803921568627
0.0,0.0,0.0,G000003,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000004,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000005,0.0,0.0,0.0,0.0,0.0,0.0
137.0,141.0,141.0,G000006,0.000137,0.0137,0.000141,0.014100000000000001,0.000141,0.014100000000000001
32369.145098039215,45018.53333333333,50243.90196078431,G000007,0.03236914509803922,3.236914509803922,0.04501853333333333,4.501853333333333,0.05024390196078431,5.02439019607843
91438.38431372552,114933.71372549022,117028.24705882356,G000008,0.09143838431372552,9.14383843137255,0.11493371372549022,11.49337137254902,0.11702824705882356,11.702824705882357
48327.768627450976,59225.654901960785,64828.92941176471,G000009,0.04832776862745097,4.8327768627450975,0.059225654901960786,5.922565490196079,0.06482892941176471,6.4828929411764715
16041.15294117647,18406.745098039217,20564.847058823532,G000010,0.01604115294117647,1.6041152941176469,0.018406745098039218,1.8406745098039217,0.020564847058823534,2.056484705882353
7965.345098039215,12352.972549019609,13029.972549019609,G000011,0.007965345098039216,0.7965345098039216,0.01235297254901961,1.235297254901961,0.013029972549019608,1.3029972549019608
13103.45882352941,14483.654901960785,14483.654901960785,G000012,0.01310345882352941,1.310345882352941,0.014483654901960784,1.4483654901960785,0.014483654901960784,1.4483654901960785
644.5529411764707,659.043137254902,659.043137254902,G000013,0.0006445529411764707,0.06445529411764707,0.000659043137254902,0.0659043137254902,0.000659043137254902,0.0659043137254902
0.0,0.0,0.0,G000014,0.0,0.0,0.0,0.0,0.0,0.0
516.5137254901961,516.5137254901961,516.5137254901961,G000015,0.000516513725490196,0.0516513725490196,0.000516513725490196,0.0516513725490196,0.000516513725490196,0.0516513725490196
0.0,0.0,0.0,G000016,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000017,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000018,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000019,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000020,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000021,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000022,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000023,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,G000024,0.0,0.0,0.0,0.0,0.0,0.0
190.14117647058822,194.14117647058822,194.14117647058822,G000025,0.00019014117647058823,0.019014117647058824,0.00019414117647058822,0.01941411764705882,0.00019414117647058822,0.01941411764705882
20.1843137254902,20.1921568627451,20.1921568627451,G000026,2.01843137254902e-05,0.00201843137254902,2.01921568627451e-05,0.00201921568627451,2.01921568627451e-05,0.00201921568627451
1753.5686274509803,1834.2156862745098,2273.823529411765,G000027,0.0017535686274509803,0.17535686274509804,0.0018342156862745098,0.183421568627451,0.0022738235294117648,0.22738235294117648
167774.15686274512,173809.18431372548,175399.94901960783,G000028,0.16777415686274513,16.777415686274512,0.17380918431372547,17.380918431372546,0.17539994901960781,17.53999490196078
1067.5176470588235,1171.407843137255,1171.407843137255,G000029,0.0010675176470588234,0.10675176470588234,0.001171407843137255,0.1171407843137255,0.001171407843137255,0.1171407843137255
0.0,0.0,0.0,G000030,0.0,0.0,0.0,0.0,0.0,0.0
138.9686274509804,146.24705882352941,3372.274509803922,G000031,0.0001389686274509804,0.013896862745098038,0.00014624705882352942,0.014624705882352942,0.003372274509803922,0.3372274509803922
