year,count,missing,mean,median,std,min,max
2014,19001,0,0.0059953009825076285,0.0,0.025976628546296458,0.0,0.42936782745098045
2015,19001,0,0.0059953009825076285,0.0,0.025976628546296458,0.0,0.42936782745098045
2016,19001,0,0.006105301300674577,0.0,0.026347330451378336,0.0,0.43104225490196085
2017,19001,0,0.006215301618841526,0.0,0.02672491482174481,0.0,0.43271668235294125
2018,19001,0,0.006325301937008475,0.0,0.027109094075206938,0.0,0.4343911098039217
2019,19001,0,0.006435302255175425,0.0,0.027499591814440526,0.0,0.4360655372549021
2020,19001,0,0.006545302573342373,0.0,0.027896142697096733,0.0,0.4377399647058825
2021,19001,0,0.006627552262450583,0.0,0.028085559512503033,0.0,0.4378726627450982
2022,19001,0,0.006709801951558793,0.0,0.028279968667911996,0.0,0.43800536078431385
2023,19001,0,0.006792051640667003,0.0,0.028479267925281895,0.0,0.4381380588235296
2024,19001,0,0.006874301329775213,0.0,0.028683355351772886,0.0,0.43827075686274525
2025,19001,0,0.006956551018883423,0.0,0.02889212947995242,0.0,0.4384034549019609
