year,median_dlog,mean_dlog,p25,p75
2015,-0.028475048419752846,-0.020719374062844763,-0.04228170338856421,-0.012055001719521397
2016,0.0006770949247323355,0.006935105477640363,-0.015107348850910682,0.017630098273021505
2017,0.1547434531896235,0.1524698553057839,0.14009597947720548,0.16909171455193037
2018,-0.023764181496487735,-0.0165345826643212,-0.036111217410835506,-0.009317589604237508
2019,0.036768925191704604,0.05135373934706998,0.023293864416548515,0.0589113625012716
2020,0.036984293412175795,0.034002597878940125,0.021462368563381573,0.0506431572914553
2021,0.04064799038540379,0.043082476122787844,0.027617194217205543,0.05427290661604611
2022,-0.0034192524601803775,0.004949945571783369,-0.015464777477909641,0.012471714878198426
2023,0.034393648038970104,0.03361536340940053,0.018109594943672702,0.048157222496121865
2024,0.01968063079272364,0.02968775035345205,0.005603859276472223,0.0398412640557132
2025,-0.018662622572845233,-0.01707553581711983,-0.035626979345276755,-0.0010909385870808141
