full_area_m2,inside_area_m2,inside_share,grid_id,cell_area_km2,inside_area_km2,province,district,district_id,centroid_x,centroid_y,longitude,latitude,dist_kapikule_km,dist_hamzabeyli_km,dist_derekoy_km,dist_pazarkule_km,dist_ipsala_km,euclidean_distance_km,nearest_gate_col,nearest_gate,nearest_border_country
1000000.0,890126.1726645378,0.8901261726645378,G000001,1.0,0.8901261726645378,Edirne,Enez,Edirne_Enez,419500.0,4509500.0,26.046674038500452,40.73250234440452,112.22211338679045,144.00405761590798,181.004801494161,108.94013845941681,32.65974602919181,32.65974602919181,dist_ipsala_km,Ipsala,Greece
1000000.0,600804.8759697377,0.6008048759697376,G000002,1.0,0.6008048759697376,Edirne,Enez,Edirne_Enez,419500.0,4510500.0,26.046545437291083,40.74150974572245,111.25285790429172,143.0623279624555,180.25029159468397,108.00393401286591,32.00006168387436,32.00006168387436,dist_ipsala_km,Ipsala,Greece
1000000.0,616558.7617010649,0.6165587617010648,G000003,1.0,0.6165587617010648,Edirne,Enez,Edirne_Enez,420500.0,4507500.0,26.05876890205324,40.71458463422147,113.92552169141828,145.56196730314275,181.87301211978493,110.47586305925557,33.32236990568004,33.32236990568004,dist_ipsala_km,Ipsala,Greece
1000000.0,879833.7798902671,0.879833779890267,G000004,1.0,0.879833779890267,Edirne,Enez,Edirne_Enez,420500.0,4508500.0,26.058642012415028,40.72359209510145,112.95317681029024,144.6165529853088,181.11107639664507,109.53452566832969,32.614801443691555,32.614801443691555,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G000005,1.0,1.0,Edirne,Enez,Edirne_Enez,420500.0,4509500.0,26.058515065378504,40.73259954155283,111.98131902425314,143.67187779640128,180.35146644698892,108.59423699296646,31.92287910405136,31.92287910405136,dist_ipsala_km,Ipsala,Greece
1000000.0,658106.569689,0.658106569689,G000006,1.0,0.658106569689,Edirne,Enez,Edirne_Enez,421500.0,4499500.0,26.071607112540907,40.6426201077234,121.50667594447948,152.84448831190488,187.4253722817121,117.7306370560626,38.85913070422327,38.85913070422327,dist_ipsala_km,Ipsala,Greece
1000000.0,761919.5051103674,0.7619195051103674,G000007,1.0,0.7619195051103674,Edirne,Enez,Edirne_Enez,421500.0,4500500.0,26.07148227060587,40.65162771424229,120.52911663972164,151.89173341403236,186.64324158931217,116.7792742584271,38.044407948716476,38.044407948716476,dist_ipsala_km,Ipsala,Greece
1000000.0,682747.2216430178,0.6827472216430178,G000008,1.0,0.6827472216430178,Edirne,Enez,Edirne_Enez,421500.0,4501500.0,26.071357372225584,40.66063530634726,119.55192853662585,150.93958974275407,185.86319992670505,115.82873085302938,37.23871524702236,37.23871524702236,dist_ipsala_km,Ipsala,Greece
1000000.0,605492.9747604133,0.6054929747604133,G000009,1.0,0.6054929747604133,Edirne,Enez,Edirne_Enez,421500.0,4502500.0,26.071232417371178,40.669642884037486,118.5751208125101,149.98806893850704,185.0852737065332,114.8790271795601,36.44265152714975,36.44265152714975,dist_ipsala_km,Ipsala,Greece
1000000.0,612659.2271526147,0.6126592271526148,G000010,1.0,0.6126592271526148,Edirne,Enez,Edirne_Enez,421500.0,4503500.0,26.071107406013745,40.67865044731211,117.59870294597742,149.03718293128654,184.30948971512638,113.93018423763166,35.656861715660334,35.656861715660334,dist_ipsala_km,Ipsala,Greece
