year,annual_day_mean,annual_day_median,annual_night_mean,annual_night_median,summer_day_mean,summer_day_median,summer_night_mean,summer_night_median
2014,21.719663871018263,22.262771649507272,7.2394161657124485,7.149128129934609,31.24429449814339,32.32745039682542,18.566130093078105,18.570579922027317
2015,21.721855253760705,22.424435166655194,6.491507771196245,6.619471895424867,33.75040473713679,35.16229206006657,16.79140240623066,16.704947214076277
2016,22.06913555620626,22.84813953488375,5.315036563554028,5.459006340844823,33.878032120260265,35.35343166175028,17.60166546376687,18.036283185840738
2017,21.967554837683622,22.714276779422146,2.7081493427098766,2.927881764515327,33.1249370855314,34.340420375865506,16.26338971043936,15.99352941176472
2018,21.33861168535745,22.025597927060815,7.468672526216922,7.636447526108574,32.26134525392039,33.28086037364801,17.739964309509816,17.83212236440737
2019,22.417269414974665,23.186724353509547,7.647234875213107,7.7158823529412,33.51468993379827,34.84260138476758,17.66188275068492,17.670117994100323
2020,22.776781431989757,23.464293975255544,8.900446407644584,8.994750420168101,33.57105131453534,34.7545400593472,16.56117741711753,16.387352941176502
2021,21.500542227840917,22.08770968614721,5.657973567117069,5.7555650319829725,32.72559668347039,33.83737388724038,15.957710036118929,15.820445103857582
2022,22.204196607682963,22.958435959736228,4.859538554119438,4.730239508266239,33.131914746057035,34.41727941176474,18.01457736171217,17.910000000000025
2023,22.49723911001517,23.228405235667235,6.527029004208095,6.527868277310946,34.29199610135961,35.71687315634222,16.704419667009557,16.546411012782727
2024,21.824109132546074,22.578658206717062,8.336594563665454,8.463903624733504,34.50615580358866,35.78957352941179,19.562835369846212,19.61186195847074
2025,20.346954300410268,21.020790977490392,5.725466583297272,5.9102460429955395,33.99928757224723,35.351150442477895,19.363708606515786,19.430000000000028
