full_area_m2,inside_area_m2,inside_share,grid_id,cell_area_km2,inside_area_km2,province,district,district_id,centroid_x,centroid_y,longitude,latitude
1000000.0,1000000.0,1.0,G000036,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4502500.0,26.09489244030762,40.669830789704164
1000000.0,1000000.0,1.0,G000037,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4503500.0,26.094770612496173,40.678838412358154
1000000.0,1000000.0,1.0,G000038,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4504500.0,26.094648729591988,40.687846020611524
1000000.0,1000000.0,1.0,G000039,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4505500.0,26.094526791566853,40.69685361446344
1000000.0,1000000.0,1.0,G000040,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4506500.0,26.09440479839254,40.70586119391309
1000000.0,1000000.0,1.0,G000041,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4507500.0,26.094282750040794,40.714868758959675
1000000.0,1000000.0,1.0,G000042,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4508500.0,26.094160646483346,40.723876309602346
1000000.0,1000000.0,1.0,G000043,1.0,1.0,Edirne,Enez,Edirne_Enez,423500.0,4509500.0,26.094038487691904,40.73288384584032
1000000.0,991839.2336976507,0.9918392336976507,G000044,1.0,0.9918392336976507,Edirne,Enez,Edirne_Enez,424500.0,4496500.0,26.107442810429525,40.61587671190067
1000000.0,1000000.0,1.0,G000045,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4497500.0,26.10732290008866,40.62488445001011
1000000.0,1000000.0,1.0,G000046,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4498500.0,26.1072029355413,40.63389217373159
1000000.0,1000000.0,1.0,G000047,1.0,1.0,Edirne,Enez,Edirne_Enez,424500.0,4499500.0,26.10708291675973,40.64289988306429
