aod_2014,aod_2015,aod_2016,aod_2017,aod_2018,aod_2019,aod_2020,aod_2021,aod_2022,aod_2023,aod_2024,aod_2025,grid_id
0.170603309154661,0.16151824679944188,0.15070249410306757,0.14100701268330254,0.14642897587033696,0.15984106862489247,0.13260181481673047,0.1477403367065345,0.14357373554457692,0.1504011940160708,0.14131248055999943,0.12872334265751142,G000001
0.17062026686804774,0.15630908751162464,0.1468953009899986,0.142059190786058,0.1431215925175997,0.1575908627600486,0.13327305438972023,0.14666627769215942,0.1405097320565166,0.14755630561481922,0.13935702221387855,0.12778709578612327,G000002
0.1878023495241704,0.1856610771643421,0.1679377262991677,0.15408933567826782,0.16001959834548726,0.18673153195296036,0.14958623733643175,0.17422577162872777,0.14837329650438602,0.14186813872684323,0.13874687854070095,0.1266095537887103,G000003
0.16355709380673095,0.15071563826401088,0.1453016005867255,0.130023000246853,0.13383974467173385,0.15750198592432388,0.13010250481272287,0.14049971906695255,0.14305565461303352,0.1425468786515638,0.138948424308242,0.12259021193226248,G000004
0.15899141528840113,0.14854012491438975,0.13592206488192002,0.13123677491556482,0.13136078138667792,0.14977613272239643,0.12378196024980345,0.13358601556638175,0.13534046355066068,0.14406826043852738,0.13458398474519662,0.120621208498461,G000005
0.1611768412591599,0.14078745175343876,0.14789223591872816,0.1348446339670444,0.13880985692729117,0.15581710247879174,0.1346772569722025,0.14742665026746138,0.13739073564936516,0.1521586343493789,0.14618826931085085,0.12393480841831107,G000006
0.16596588918279556,0.1489189015852168,0.1560762750097766,0.14640412254102259,0.14724177710564534,0.16570655386379105,0.14645545751929145,0.15771858643765188,0.1473247312039594,0.15523111746811843,0.14917438401166877,0.13122699742697294,G000007
0.16009398724784835,0.14521603455962784,0.15429647520170076,0.14263146016740044,0.1456347473253382,0.15815931522148272,0.13695517545340413,0.149333457053741,0.14177771019072954,0.15449303634631592,0.14694623702135687,0.12494995467339508,G000008
0.16005128870308402,0.1403710108249576,0.14744167149930812,0.13752212872341052,0.14127830599672891,0.15191044751574667,0.13378594507332334,0.1458555067139801,0.1365241226846591,0.14664209367779235,0.14356599327433062,0.1196006601773842,G000009
0.15451722330528075,0.13772791796837916,0.13992883424358904,0.13270615351200846,0.13633000139868603,0.15257319963368599,0.13070583394797855,0.1487434896354663,0.13122471543994768,0.14228811432473146,0.138739734445863,0.1167446646168847,G000010
0.16048049991065175,0.14686322977847735,0.15234912054443608,0.14182432634983463,0.14356584530607935,0.16237739703270695,0.14376546504534068,0.15598962291660942,0.13630685481907018,0.1479709797650085,0.14540551365839946,0.12301180384666738,G000011
0.17375053899372064,0.15882858115541937,0.16426025335961078,0.15413849111665834,0.15630743701269717,0.1729338834516964,0.15861381570556526,0.1703379305190363,0.14853176202346255,0.16295452178369424,0.16033060285625889,0.1416764255029039,G000012
0.15242675838928124,0.14901916966529952,0.14197369218790742,0.13178769657872094,0.13546907170337044,0.14600081247037455,0.1357536653081845,0.14626673833165352,0.14310370561971505,0.1569308381204237,0.14570200239231307,0.13276365531686216,G000013
0.14584870409855483,0.1374969505478473,0.13426392162860928,0.12512698249738027,0.1291809182172547,0.13761719828763408,0.1204374330496748,0.13502863894168232,0.1403574797398996,0.12966090735273958,0.1273384292769143,0.12130234031345512,G000014
0.1428467840362309,0.1282364608450093,0.13600213808287373,0.11831625120822924,0.12086398929681295,0.14294913254235647,0.12227860702796106,0.12173092140442109,0.1409928489774109,0.13992159179476027,0.13460178033798953,0.11703630372756124,G000015
0.15069425633370573,0.13984679015951826,0.13036958486656247,0.1252425694730672,0.12575106989143697,0.14607720467247937,0.12192042597867771,0.13011733130833858,0.13171954247780707,0.1402012869678378,0.1324825972553032,0.11726680125410384,G000016
0.1600388172576221,0.14789852302425754,0.15178789002512452,0.13583241450432715,0.14251038206157315,0.15305183413473472,0.1379210708507921,0.14734850490321755,0.13442063376808333,0.15082014184093892,0.15192683561009918,0.13150100364460374,G000017
0.1520933710203388,0.13690606698975344,0.14354232213591334,0.12852231313418144,0.13292244201710637,0.14778416184141546,0.13087232766475812,0.1391646879365599,0.1279858428571488,0.14468232356555588,0.1424074528970119,0.12365161757936875,G000018
0.15513668508363493,0.13510606890012425,0.14361810247435994,0.12864096797534347,0.1345916126847778,0.14981236226906927,0.12835997956654008,0.140127067007604,0.13237868379186463,0.1477265476812214,0.14200042952319564,0.11857473373507794,G000019
0.15537007068448797,0.13585531930655476,0.14542317075936553,0.1303657125351114,0.13685548023754304,0.1502294367415141,0.13063485106131822,0.13914563658411613,0.13473954527993745,0.14932934143825993,0.14278329424119818,0.1188652696838655,G000020
0.1557045601180007,0.13448056725276275,0.1459488088805956,0.1313811977263047,0.13873347355570842,0.15018529957098506,0.12992901183084588,0.1399274082648215,0.13669596131282472,0.14953204992324715,0.1433459040631538,0.12041171077426518,G000021
0.1602993895492032,0.1386435358363296,0.1472277882139731,0.1356827700029816,0.14156010205580807,0.15198815993385312,0.13301010896732268,0.14431511076317644,0.13656574893992973,0.14778745497869994,0.14224011194333755,0.11958791732403819,G000022
0.1633265600984211,0.146085764133373,0.14943136183909198,0.13878094389416715,0.14368796998594038,0.15807373829053684,0.13536686451392052,0.15070701761625802,0.13563848160475928,0.15041669296225063,0.1473578850413798,0.1235652722778948,G000023
0.16310168926164165,0.1497871588906342,0.15636439256168347,0.14353430904855136,0.14817418938522506,0.16108309730731954,0.14469500758278836,0.1575448162291205,0.13837119131004663,0.15920828514383986,0.1565544844481359,0.13206352467203922,G000024
0.17890078476688753,0.16258459997237948,0.1701960149717269,0.15975469247489332,0.16047253546640752,0.17877297147051768,0.1649367940401686,0.17480793450525886,0.1494053961750482,0.16830516361605102,0.16364045904570063,0.1456525686580073,G000025
0.1694285439473009,0.16032563106723083,0.15793038680465918,0.1518005924466545,0.15210166330345465,0.17247622686728215,0.15385829541392593,0.16418163174790432,0.14420647485673613,0.162851784915909,0.15810400650892614,0.14440859100748715,G000026
0.1612619229813324,0.14849301057333072,0.1522932839776815,0.14138742918579242,0.14107147120524577,0.15745029108773395,0.13813696570404346,0.14595683709397891,0.14286831339079056,0.14884548619515,0.14538296480961208,0.13237113859673416,G000027
0.14043001080731501,0.12971920869288794,0.13696963046771107,0.12687353247120306,0.12418847392502153,0.1424015624675453,0.12435161442139073,0.12433641283584042,0.13978701158632328,0.14350539142922056,0.1379751096343333,0.1208613065806128,G000028
0.1502604284349445,0.13457967613673463,0.13066720377550992,0.12361021659104998,0.12248277005465893,0.1396397106975662,0.12301138405213226,0.12804046580653475,0.12826841592738722,0.14095466911259022,0.1340845476766985,0.1164958304856993,G000029
0.16655730619810566,0.15761271977952274,0.1610086298961345,0.14035593580369746,0.14867737543374737,0.15901777734162298,0.14165438816667275,0.15837382256650046,0.1406020390323224,0.1586570847636105,0.1589475157399067,0.1376071148130306,G000030
0.15938942900864742,0.15123989776177404,0.15685503530372472,0.1386413593065479,0.14475638581361044,0.15540072705337535,0.13912686915938685,0.15004536954934897,0.13616496587421542,0.15358412819810568,0.15304031791467354,0.13530943562734996,G000031
0.15413053306957852,0.14131504119011934,0.14891798088284064,0.1326240144816118,0.13770320659472565,0.1527805219570241,0.13307255076276908,0.14298389342374637,0.13333844731909922,0.14974613630334918,0.1451233930878713,0.1305841688924932,G000032
0.14991469013662678,0.13353083165227694,0.14323310805224526,0.12404745777405873,0.13526902004948269,0.14786323325957934,0.1261798489194252,0.1358395317543142,0.1296313584494181,0.1431249791264572,0.13744687574167724,0.11844759996875438,G000033
0.15371150789992208,0.13380163745397106,0.14336889077690854,0.12722055175833358,0.13580137399337563,0.1470603074146725,0.12856614198768215,0.13950028192012462,0.13156704693458143,0.14661103732435404,0.13958148923644778,0.11965634510676021,G000034
0.1575319581529561,0.13435352687032712,0.14774782980386053,0.12823432493308282,0.1355032015639052,0.14871691532822198,0.13101893937572745,0.14035088161676756,0.13292349413864235,0.14853575608797726,0.14556631625374186,0.12381311240959114,G000035
0.15809529703644132,0.13486435823517823,0.147609034348557,0.13030342784592344,0.14008450221935814,0.1503018342853376,0.13099134872594026,0.1442711952416708,0.1339387348715704,0.15055588500490183,0.14545521254191446,0.12338719732836638,G000036
0.1614546585323285,0.14065955841577532,0.14936377302939244,0.13651046617133306,0.14049033536788896,0.15429348249292307,0.1306802796174286,0.14972215902167088,0.133449872810461,0.1529875213781532,0.14731334348681063,0.1247465769525427,G000037
0.16258866607113265,0.14541166916017673,0.151894200557212,0.14218542767991005,0.14390155595678267,0.15513062135844705,0.13665673575290516,0.15711325951962124,0.1356758641188667,0.1587012950868752,0.1499622906776416,0.13110316991684584,G000038
0.16693007170833393,0.15684370380118884,0.1627501023381229,0.1539611473600549,0.15382569427767578,0.16795772534661965,0.15202020295985513,0.16641061928705858,0.14602294539544974,0.16799793855838138,0.16080209701583972,0.14143816054107305,G000039
0.16673990693007396,0.15637232825168457,0.16262467214737927,0.1518004290582557,0.14999752119964022,0.16504350570592363,0.1549945706838518,0.16359899888404017,0.14519698147502058,0.16908113287207593,0.1585253683414038,0.14045737327400643,G000040
0.16702208632860727,0.14756953162347966,0.15886831282596448,0.14632048608499315,0.1442811056828357,0.16213913746649805,0.14833972866802614,0.15810295464402382,0.1458027181151045,0.1592986320617027,0.15433808404133983,0.13820458571645494,G000041
0.1526637993245325,0.1383758588588667,0.13967849203682384,0.12973151874045052,0.13211105713523028,0.14493571958638543,0.1319917173254638,0.144554950629572,0.1353164799932241,0.14392733541663033,0.14022099902969887,0.12479818088940603,G000042
0.1479678453286681,0.13578575262702403,0.13300740148081883,0.12624239463700376,0.12725673574268992,0.13815810376865573,0.12482269805206773,0.13688607139643624,0.12915843658627132,0.1396108893694573,0.13732323878281852,0.11766998092385944,G000043
0.1608812692393213,0.15253259014830692,0.154921354625336,0.13944771965943395,0.1430035942730185,0.15407205113933298,0.1369037050399039,0.15270858161299325,0.13744433412026633,0.154533781454939,0.1531594292356692,0.13465824575920718,G000044
0.1578799309335874,0.15238419656925176,0.15715741408017894,0.14121769134293352,0.144757539767404,0.1545467384500141,0.14111787659382974,0.15072789604694345,0.13817228097466824,0.15411218543039362,0.1522485920820343,0.13705212292194077,G000045
