grid_id,year,viirs_avg_rad,ln_viirs
G000001,2014,0.21244186319510736,0.192636394799641
G000001,2015,0.16288660079707154,0.15090536301905033
G000001,2016,0.16041175482569792,0.14877490319113762
G000001,2017,0.33699449397146086,0.290424179914962
G000001,2018,0.30571721829529497,0.26675248236742066
G000001,2019,0.3285407376671335,0.2840811501564199
G000001,2020,0.36938400650966013,0.314361008441107
G000001,2021,0.4343293586804152,0.3606973941041615
G000001,2022,0.42949702283131563,0.35732265011371345
G000001,2023,0.4547816425028927,0.37485581548007074
G000001,2024,0.458681575676368,0.3775329973840495
G000001,2025,0.411174864753881,0.344422594854597
G000002,2014,0.1894714467005054,0.173509046017535
G000002,2015,0.15093857311824363,0.1405777600430141
G000002,2016,0.14829303626137882,0.1382765233919802
G000002,2017,0.32471845612597117,0.2811999509171859
G000002,2018,0.28921393654239713,0.25403268112596944
G000002,2019,0.30208706586663403,0.26396841241593116
G000002,2020,0.3483924133786515,0.29891307797411154
G000002,2021,0.394767410074597,0.33272767024282784
G000002,2022,0.40374377772434433,0.3391427944511419
G000002,2023,0.43679658236788277,0.36241603992146215
G000002,2024,0.43852136693338845,0.3636157575198596
G000002,2025,0.39506738555075516,0.33294271916098217
G000003,2014,0.25522256340108707,0.22731289821607578
G000003,2015,0.19475643181089147,0.1779423418564018
G000003,2016,0.20472980209473357,0.18625531117239552
G000003,2017,0.3719084254174091,0.31620278175353717
G000003,2018,0.3535665366854241,0.30274298784838416
G000003,2019,0.3639589561455286,0.31039146816613467
G000003,2020,0.42622760879014865,0.3550329227125589
G000003,2021,0.5126194054288651,0.4138428535449013
G000003,2022,0.47349066598646683,0.3876341885888279
G000003,2023,0.5410005606822114,0.4324319201810088
G000003,2024,0.5151442701469607,0.41551066224722755
G000003,2025,0.4839129276684861,0.3946824689459581
G000004,2014,0.28394342070183287,0.24993613942292242
G000004,2015,0.21732919154465422,0.19665927171325004
G000004,2016,0.21551487282506582,0.19516775067208691
G000004,2017,0.39487828927881574,0.33280716363820984
G000004,2018,0.3735796710003337,0.31742023069569747
G000004,2019,0.3688173229048169,0.3139470990569823
G000004,2020,0.4238104931649572,0.3533367234911834
G000004,2021,0.5047505577597615,0.40862714211173956
G000004,2022,0.46768490436444604,0.38368626434974956
G000004,2023,0.5403390121788386,0.4320025299772391
G000004,2024,0.5162199080567349,0.4162203347851907
G000004,2025,0.48597480435470813,0.39607099080505953
G000005,2014,0.25318061242826645,0.22568480952320383
G000005,2015,0.20244097376544853,0.18435363552726977
G000005,2016,0.19550587938634897,0.17856942583501428
G000005,2017,0.3741477220451067,0.31783370042657655
G000005,2018,0.34923932631395965,0.2995409716563154
G000005,2019,0.34498820015286186,0.29638523989476956
G000005,2020,0.3958053817825416,0.3334715832909603
G000005,2021,0.46953365337742065,0.3849451078581718
G000005,2022,0.45336562355122506,0.37388198648585
G000005,2023,0.5087019008780022,0.41124961280742234
G000005,2024,0.4746739898992898,0.38843694156533237
G000005,2025,0.4516498982551023,0.3727007704250506
G000006,2014,0.3675317817993129,0.31300749584782106
G000006,2015,0.30928021897353347,0.2694775350442118
G000006,2016,0.2528022557052214,0.22538284678376838
G000006,2017,0.472610349597326,0.3870365740395072
G000006,2018,0.4452574609820524,0.3682874793833504
