grid_id,year,built_share,built_pct
G000001,2014,0.0,0.0
G000001,2015,0.0,0.0
G000001,2016,0.0,0.0
G000001,2017,0.0,0.0
G000001,2018,0.0,0.0
G000001,2019,0.0,0.0
G000001,2020,0.0,0.0
G000001,2021,0.0,0.0
G000001,2022,0.0,0.0
G000001,2023,0.0,0.0
G000001,2024,0.0,0.0
G000001,2025,0.0,0.0
G000002,2014,0.0003235019607843137,0.03235019607843137
G000002,2015,0.0003235019607843137,0.03235019607843137
G000002,2016,0.0003251976470588235,0.03251976470588235
G000002,2017,0.00032689333333333335,0.032689333333333334
G000002,2018,0.00032858901960784313,0.032858901960784316
G000002,2019,0.000330284705882353,0.0330284705882353
G000002,2020,0.00033198039215686276,0.03319803921568627
G000002,2021,0.00033198039215686276,0.03319803921568627
G000002,2022,0.00033198039215686276,0.03319803921568627
G000002,2023,0.00033198039215686276,0.03319803921568627
G000002,2024,0.00033198039215686276,0.03319803921568627
G000002,2025,0.00033198039215686276,0.03319803921568627
G000003,2014,0.0,0.0
G000003,2015,0.0,0.0
G000003,2016,0.0,0.0
G000003,2017,0.0,0.0
G000003,2018,0.0,0.0
G000003,2019,0.0,0.0
G000003,2020,0.0,0.0
G000003,2021,0.0,0.0
G000003,2022,0.0,0.0
G000003,2023,0.0,0.0
G000003,2024,0.0,0.0
G000003,2025,0.0,0.0
G000004,2014,0.0,0.0
G000004,2015,0.0,0.0
G000004,2016,0.0,0.0
G000004,2017,0.0,0.0
G000004,2018,0.0,0.0
G000004,2019,0.0,0.0
G000004,2020,0.0,0.0
G000004,2021,0.0,0.0
G000004,2022,0.0,0.0
G000004,2023,0.0,0.0
G000004,2024,0.0,0.0
G000004,2025,0.0,0.0
G000005,2014,0.0,0.0
G000005,2015,0.0,0.0
G000005,2016,0.0,0.0
G000005,2017,0.0,0.0
G000005,2018,0.0,0.0
G000005,2019,0.0,0.0
G000005,2020,0.0,0.0
G000005,2021,0.0,0.0
G000005,2022,0.0,0.0
G000005,2023,0.0,0.0
G000005,2024,0.0,0.0
G000005,2025,0.0,0.0
G000006,2014,0.000137,0.0137
G000006,2015,0.000137,0.0137
G000006,2016,0.0001378,0.013779999999999999
G000006,2017,0.0001386,0.01386
G000006,2018,0.0001394,0.01394
G000006,2019,0.00014020000000000002,0.014020000000000001
G000006,2020,0.000141,0.014100000000000001
G000006,2021,0.000141,0.014100000000000001
G000006,2022,0.000141,0.014100000000000001
G000006,2023,0.000141,0.014100000000000001
G000006,2024,0.000141,0.014100000000000001
G000006,2025,0.000141,0.014100000000000001
G000007,2014,0.03236914509803922,3.236914509803922
G000007,2015,0.03236914509803922,3.236914509803922
G000007,2016,0.03489902274509804,3.489902274509804
