grid_id,year,aod_055
G000001,2014,0.170603309154661
G000001,2015,0.16151824679944188
G000001,2016,0.15070249410306757
G000001,2017,0.14100701268330254
G000001,2018,0.14642897587033696
G000001,2019,0.15984106862489247
G000001,2020,0.13260181481673047
G000001,2021,0.1477403367065345
G000001,2022,0.14357373554457692
G000001,2023,0.1504011940160708
G000001,2024,0.14131248055999943
G000001,2025,0.12872334265751142
G000002,2014,0.17062026686804774
G000002,2015,0.15630908751162464
G000002,2016,0.1468953009899986
G000002,2017,0.142059190786058
G000002,2018,0.1431215925175997
G000002,2019,0.1575908627600486
G000002,2020,0.13327305438972023
G000002,2021,0.14666627769215942
G000002,2022,0.1405097320565166
G000002,2023,0.14755630561481922
G000002,2024,0.13935702221387855
G000002,2025,0.12778709578612327
G000003,2014,0.1878023495241704
G000003,2015,0.1856610771643421
G000003,2016,0.1679377262991677
G000003,2017,0.15408933567826782
G000003,2018,0.16001959834548726
G000003,2019,0.18673153195296036
G000003,2020,0.14958623733643175
G000003,2021,0.17422577162872777
G000003,2022,0.14837329650438602
G000003,2023,0.14186813872684323
G000003,2024,0.13874687854070095
G000003,2025,0.1266095537887103
G000004,2014,0.16355709380673095
G000004,2015,0.15071563826401088
G000004,2016,0.1453016005867255
G000004,2017,0.130023000246853
G000004,2018,0.13383974467173385
G000004,2019,0.15750198592432388
G000004,2020,0.13010250481272287
G000004,2021,0.14049971906695255
G000004,2022,0.14305565461303352
G000004,2023,0.1425468786515638
G000004,2024,0.138948424308242
G000004,2025,0.12259021193226248
G000005,2014,0.15899141528840113
G000005,2015,0.14854012491438975
G000005,2016,0.13592206488192002
G000005,2017,0.13123677491556482
G000005,2018,0.13136078138667792
G000005,2019,0.14977613272239643
G000005,2020,0.12378196024980345
G000005,2021,0.13358601556638175
G000005,2022,0.13534046355066068
G000005,2023,0.14406826043852738
G000005,2024,0.13458398474519662
G000005,2025,0.120621208498461
G000006,2014,0.1611768412591599
G000006,2015,0.14078745175343876
G000006,2016,0.14789223591872816
G000006,2017,0.1348446339670444
G000006,2018,0.13880985692729117
G000006,2019,0.15581710247879174
G000006,2020,0.1346772569722025
G000006,2021,0.14742665026746138
G000006,2022,0.13739073564936516
G000006,2023,0.1521586343493789
G000006,2024,0.14618826931085085
G000006,2025,0.12393480841831107
G000007,2014,0.16596588918279556
G000007,2015,0.1489189015852168
G000007,2016,0.1560762750097766
G000007,2017,0.14640412254102259
G000007,2018,0.14724177710564534
G000007,2019,0.16570655386379105
G000007,2020,0.14645545751929145
G000007,2021,0.15771858643765188
G000007,2022,0.1473247312039594
G000007,2023,0.15523111746811843
G000007,2024,0.14917438401166877
G000007,2025,0.13122699742697294
G000008,2014,0.16009398724784835
G000008,2015,0.14521603455962784
G000008,2016,0.15429647520170076
G000008,2017,0.14263146016740044
G000008,2018,0.1456347473253382
G000008,2019,0.15815931522148272
G000008,2020,0.13695517545340413
G000008,2021,0.149333457053741
G000008,2022,0.14177771019072954
G000008,2023,0.15449303634631592
G000008,2024,0.14694623702135687
G000008,2025,0.12494995467339508
G000009,2014,0.16005128870308402
G000009,2015,0.1403710108249576
G000009,2016,0.14744167149930812
G000009,2017,0.13752212872341052
G000009,2018,0.14127830599672891
G000009,2019,0.15191044751574667
G000009,2020,0.13378594507332334
G000009,2021,0.1458555067139801
G000009,2022,0.1365241226846591
G000009,2023,0.14664209367779235
G000009,2024,0.14356599327433062
G000009,2025,0.1196006601773842
G000010,2014,0.15451722330528075
