grid_id,year,ndvi,evi
G000001,2014,0.4815388338786877,0.22064042037885062
G000001,2015,0.46177279038424857,0.23036222698168485
G000001,2016,0.5289782912079967,0.242993052898737
G000001,2017,0.4925254023128719,0.22362583355517635
G000001,2018,0.5232537999939296,0.25060009690977186
G000001,2019,0.5023945344038848,0.21429274991583203
G000001,2020,0.5127196300229961,0.22562467720128745
G000001,2021,0.4285368369381614,0.1902075663814763
G000001,2022,0.4078610140346786,0.16587614164056158
G000001,2023,0.41494144003063677,0.17572339736400652
G000001,2024,0.4416583276372928,0.19059953093732998
G000001,2025,0.36168708627265983,0.13521466462796095
G000002,2014,0.5463995040914986,0.2512690647521437
G000002,2015,0.5187016653597158,0.2582002986853274
G000002,2016,0.5537775002193758,0.2529855163365084
G000002,2017,0.5283693133229781,0.22051327668995255
G000002,2018,0.5259467234510985,0.23922598583615537
G000002,2019,0.5301791667716907,0.21870738431703565
G000002,2020,0.5753406893997324,0.23714437189780788
G000002,2021,0.4891372106736719,0.20696936369733254
G000002,2022,0.4755222149156977,0.18867919033811004
G000002,2023,0.5171176655886279,0.21269804780409424
G000002,2024,0.48944438208323937,0.1924237465191715
G000002,2025,0.42577726765459534,0.15606770915963683
G000003,2014,0.08049975629192917,0.025237388564276236
G000003,2015,0.07999843386010302,0.031900027236244695
G000003,2016,0.07731018266877565,0.02999483132257308
G000003,2017,0.05866434941032077,0.024777339168262743
G000003,2018,0.047770925903875494,0.021636721522671726
G000003,2019,0.04167973240414181,0.0191458450289979
G000003,2020,0.029808819609640415,0.014437883148773428
G000003,2021,0.03191291803496639,0.017703301226374476
G000003,2022,0.08359391314619237,0.03437295997776544
G000003,2023,0.07112202046520033,0.026499188846522644
G000003,2024,0.04704233362313127,0.02395696936135559
G000003,2025,0.057427841897322515,0.02410322491314564
G000004,2014,0.21026708393415236,0.0654724446195783
G000004,2015,0.16869731070603328,0.061487721226943334
G000004,2016,0.21046491937725093,0.0671440601385636
G000004,2017,0.1927808581102943,0.06412712825249894
G000004,2018,0.167411462153621,0.05888990718914771
G000004,2019,0.165998772288761,0.056431560615972765
G000004,2020,0.1762502285993882,0.05864512393336092
G000004,2021,0.1541673579989984,0.054751589512180704
