grid_id,year,annual_lst_day_c,annual_lst_night_c,summer_lst_day_c,summer_lst_night_c
G000001,2014,18.636216506528726,11.310185798623326,26.9746083562902,20.08961616161619
G000001,2015,17.756825130088796,10.700293868521538,26.697696969697,17.787713131313172
G000001,2016,18.011170615243373,10.598350711775193,27.491030303030335,19.25129292929296
G000001,2017,18.412492052306042,9.597874936557728,28.0202373737374,18.870145454545494
G000001,2018,17.846136382144234,11.484772977936645,27.323745638200222,20.22839393939397
G000001,2019,18.925762442607926,11.332219271174981,27.935449494949534,20.906236363636395
G000001,2020,18.60919326599329,10.581347633659377,27.266676767676806,20.451727272727314
G000001,2021,18.832842017738386,9.743910997118553,27.90456565656569,19.89920707070711
G000001,2022,18.44461557434816,10.984770023055608,28.090257575757605,20.74789754689758
G000001,2023,18.57499207597039,10.871438176021543,27.336813131313168,21.259161616161638
G000001,2024,18.03285188113017,11.183314219114251,27.978757575757612,21.92948484848489
G000001,2025,17.484597823193205,11.060097651579623,27.658444444444473,22.148952020202053
G000002,2014,18.96376677240976,11.224383568050085,27.512615106286777,19.589671641791078
G000002,2015,18.012411307100894,11.139134092227813,27.410885572139335,18.164193034825907
G000002,2016,18.47870375395751,10.958455566638793,28.388079601990082,19.584316417910475
G000002,2017,18.740557494416596,9.434409205205533,28.87105970149256,19.403653731343322
G000002,2018,18.136891843811277,11.57749395179249,27.896539574853033,20.83109339019192
G000002,2019,19.427104536605537,11.204305140961889,28.8026218905473,20.00233432835824
G000002,2020,18.871198009950277,10.691898937261286,28.162353233830878,20.729420895522424
G000002,2021,19.165953294503122,10.337409533612751,28.63724378109456,20.520613930348286
G000002,2022,18.869953993247325,10.793506366019397,28.73220398009953,20.760408244491863
G000002,2023,19.130746992311206,11.377279030670854,27.840771144278634,21.48972139303484
G000002,2024,18.204731559593366,11.221161743888894,28.391273631840832,22.601761194029876
G000002,2025,17.792120255362697,10.620152203132207,28.09146268656719,22.310286069651763
G000003,2014,18.440723837787147,11.322397563676665,27.221072351421217,22.085635658914754
G000003,2015,17.49053746770029,11.540992248062045,27.16010335917316,21.173307493540076
G000003,2016,18.63844461250817,12.108570430896041,27.81625322997419,20.3941343669251
G000003,2017,18.178422495940225,10.890658707457643,28.118229974160233,20.11660465116282
G000003,2018,18.166539393647607,12.547667273961379,28.056666666666693,22.482387596899255
G000003,2019,19.099496658363982,11.459181739879442,27.968914728682197,22.69082170542637
G000003,2020,18.66417201919531,10.806634158539671,27.436111111111142,21.81567441860468
G000003,2021,18.26953849709042,11.128425900592823,28.32317829457367,21.532170542635686
G000003,2022,18.448749376922972,12.405909712722329,27.567015503876,22.07858914728685
G000003,2023,18.49356111502626,12.168745241866052,27.39826873385016,21.762038759689943
G000003,2024,17.86017449520485,11.966690518783576,27.722532299741626,23.10886304909565
G000003,2025,17.918033780802958,11.47268336314851,27.29244186046515,22.94074935400519
G000004,2014,18.697933103350913,12.028717940568917,27.17475268817207,21.761207373271926
G000004,2015,17.85904659498211,11.103405249449041,27.13655913978498,20.017967741935514
G000004,2016,18.290451787743713,11.396051612903255,27.563967741935514,20.103225806451647
